slug,provider,title,category,kind,price,currency,billing_period,commitment_months,renewal_price,discount_percent,coupon_code,valid_until,source_url,captured_at,evidence_quote,evidence_location,source_sha256
aiven-developer,aiven,Developer,Application hosting,regular_price,5.0,USD,month,,,,,,https://aiven.io/pricing,2026-09-23T06:31:30Z,$5 / month,configured field pattern: price,3cbf509605c02a1487b02d44846d48b093d1120459a90fa19126a8fdd19e11ad
aiven-hobbyist,aiven,Hobbyist,Application hosting,regular_price,12.0,USD,month,,,,,,https://aiven.io/pricing,2026-09-23T06:31:30Z,$12 / month,configured field pattern: price,3cbf509605c02a1487b02d44846d48b093d1120459a90fa19126a8fdd19e11ad
aiven-startup,aiven,Startup,Application hosting,regular_price,75.0,USD,month,,,,,,https://aiven.io/pricing,2026-09-23T06:31:30Z,$75 / month,configured field pattern: price,3cbf509605c02a1487b02d44846d48b093d1120459a90fa19126a8fdd19e11ad
aiven-business,aiven,Business,Application hosting,regular_price,180.0,USD,month,,,,,,https://aiven.io/pricing,2026-09-23T06:31:30Z,$180 / month,configured field pattern: price,3cbf509605c02a1487b02d44846d48b093d1120459a90fa19126a8fdd19e11ad
aiven-premium,aiven,Premium,Application hosting,regular_price,270.0,USD,month,,,,,,https://aiven.io/pricing,2026-09-23T06:31:30Z,$270 / month,configured field pattern: price,3cbf509605c02a1487b02d44846d48b093d1120459a90fa19126a8fdd19e11ad
timescale-performance,timescale,Performance,Application hosting,regular_price,30.0,USD,month,,,,,,https://www.timescale.com/pricing,2026-09-23T06:31:31Z,$ 30 / month,configured field pattern: price,64d0e26d418b55ce6fa192d0bb2a665600d8ebf4c4763c1fcc19557c8c16c8e1
timescale-scale,timescale,Scale,Application hosting,regular_price,36.0,USD,month,,,,,,https://www.timescale.com/pricing,2026-09-23T06:31:31Z,$ 36 / month,configured field pattern: price,64d0e26d418b55ce6fa192d0bb2a665600d8ebf4c4763c1fcc19557c8c16c8e1
redis-essentials,redis,Essentials,Application hosting,regular_price,5.0,USD,month,,,,,,https://redis.io/pricing/,2026-09-23T06:31:32Z,$5/month,configured field pattern: price,e8b2968a74f91226594e097c30416eb403aa6efca132dd4a997bacc1794b560c
redis-pro,redis,Pro,Application hosting,regular_price,200.0,USD,month,,,,,,https://redis.io/pricing/,2026-09-23T06:31:32Z,$200 /month,configured field pattern: price,e8b2968a74f91226594e097c30416eb403aa6efca132dd4a997bacc1794b560c
xata-micro,xata,micro,Application hosting,regular_price,9.0,USD,month,,,,,,https://xata.io/pricing,2026-09-23T06:31:32Z,$ 9 /month,configured field pattern: price,067e60b56aae6e9282633965668718e00172bc81dc56b87a095845e0252f14e8
xata-small,xata,small,Application hosting,regular_price,18.0,USD,month,,,,,,https://xata.io/pricing,2026-09-23T06:31:32Z,$ 18 /month,configured field pattern: price,067e60b56aae6e9282633965668718e00172bc81dc56b87a095845e0252f14e8
xata-medium,xata,medium,Application hosting,regular_price,35.0,USD,month,,,,,,https://xata.io/pricing,2026-09-23T06:31:32Z,$ 35 /month,configured field pattern: price,067e60b56aae6e9282633965668718e00172bc81dc56b87a095845e0252f14e8
xata-large,xata,large,Application hosting,regular_price,70.0,USD,month,,,,,,https://xata.io/pricing,2026-09-23T06:31:32Z,$ 70 /month,configured field pattern: price,067e60b56aae6e9282633965668718e00172bc81dc56b87a095845e0252f14e8
cloudcone-sc2-starter,cloudcone,SC2 Starter,VPS hosting,regular_price,5.2,USD,month,,,,,,https://cloudcone.com/,2026-09-23T06:31:43Z,$ 5.20 Per Month,configured field pattern: price,49992ad2797b19233159f9829884ba489ab9c6a69920be6b29ae166c772a3d29
cloudcone-sc2-basic,cloudcone,SC2 Basic,VPS hosting,regular_price,10.34,USD,month,,,,,,https://cloudcone.com/,2026-09-23T06:31:43Z,$ 10.34 Per Month,configured field pattern: price,49992ad2797b19233159f9829884ba489ab9c6a69920be6b29ae166c772a3d29
cloudcone-sc2-standard,cloudcone,SC2 Standard,VPS hosting,regular_price,14.51,USD,month,,,,,,https://cloudcone.com/,2026-09-23T06:31:43Z,$ 14.51 Per Month,configured field pattern: price,49992ad2797b19233159f9829884ba489ab9c6a69920be6b29ae166c772a3d29
cloudcone-sc2-business,cloudcone,SC2 Business,VPS hosting,regular_price,17.56,USD,month,,,,,,https://cloudcone.com/,2026-09-23T06:31:43Z,$ 17.56 Per Month,configured field pattern: price,49992ad2797b19233159f9829884ba489ab9c6a69920be6b29ae166c772a3d29
cloudcone-sc2-professional,cloudcone,SC2 Professional,VPS hosting,regular_price,31.99,USD,month,,,,,,https://cloudcone.com/,2026-09-23T06:31:43Z,$ 31.99 Per Month,configured field pattern: price,49992ad2797b19233159f9829884ba489ab9c6a69920be6b29ae166c772a3d29
cloudcone-sc2-premium,cloudcone,SC2 Premium,VPS hosting,regular_price,63.09,USD,month,,,,,,https://cloudcone.com/,2026-09-23T06:31:43Z,$ 63.09 Per Month,configured field pattern: price,49992ad2797b19233159f9829884ba489ab9c6a69920be6b29ae166c772a3d29
ramnode-standard-vps,ramnode,Standard VPS,VPS hosting,regular_price,4.0,USD,month,,,,,,https://www.ramnode.com/,2026-09-23T06:31:44Z,$4/mo,configured field pattern: price,4e15ccfdb7de5c022c1dc11857fe02c2b20cc046fff336b4e6d7320953c4bb0c
ramnode-premium-nvme-vps,ramnode,Premium NVMe VPS,VPS hosting,regular_price,14.0,USD,month,,,,,,https://www.ramnode.com/,2026-09-23T06:31:44Z,$14/mo,configured field pattern: price,4e15ccfdb7de5c022c1dc11857fe02c2b20cc046fff336b4e6d7320953c4bb0c
ramnode-storage-vps,ramnode,Storage VPS,VPS hosting,regular_price,4.0,USD,month,,,,,,https://www.ramnode.com/,2026-09-23T06:31:44Z,$4/mo,configured field pattern: price,4e15ccfdb7de5c022c1dc11857fe02c2b20cc046fff336b4e6d7320953c4bb0c
simply-com-basic-suite,simply-com,Basic Suite,Web hosting,promotion,0.59,USD,month,,8.94,,,,https://www.simply.com/en/,2026-09-23T06:31:46Z,US$0.59/mo first year,configured field pattern: price,95c0f18e28ba7f8f9e03397dc5225c3f24957b1162f211f5ab9dd8733f19e58e
simply-com-standard-suite,simply-com,Standard Suite,Web hosting,promotion,0.64,USD,month,,16.74,,,,https://www.simply.com/en/,2026-09-23T06:31:46Z,US$0.64/mo first year,configured field pattern: price,95c0f18e28ba7f8f9e03397dc5225c3f24957b1162f211f5ab9dd8733f19e58e
simply-com-pro-suite,simply-com,Pro Suite,Web hosting,promotion,3.6,USD,month,,25.2,,,,https://www.simply.com/en/,2026-09-23T06:31:46Z,US$3.60/mo first year,configured field pattern: price,95c0f18e28ba7f8f9e03397dc5225c3f24957b1162f211f5ab9dd8733f19e58e
strikingly-limited,strikingly,Limited,Web hosting,regular_price,8.0,USD,month,,,,,,https://www.strikingly.com/pricing,2026-09-23T06:31:50Z,"8 /mo USD, Billed yearly",configured field pattern: price,809f427e1f1cda18743f9e92e9441b346338b439aae093ddef81ba16438d717d
strikingly-pro,strikingly,Pro,Web hosting,regular_price,16.0,USD,month,,,,,,https://www.strikingly.com/pricing,2026-09-23T06:31:50Z,"16 /mo USD, Billed yearly",configured field pattern: price,809f427e1f1cda18743f9e92e9441b346338b439aae093ddef81ba16438d717d
strikingly-vip,strikingly,VIP,Web hosting,regular_price,49.0,USD,month,,,,,,https://www.strikingly.com/pricing,2026-09-23T06:31:50Z,"49 /mo USD, Billed yearly",configured field pattern: price,809f427e1f1cda18743f9e92e9441b346338b439aae093ddef81ba16438d717d
zeabur-dev,zeabur,Dev,Application hosting,regular_price,5.0,USD,month,,,,,,https://zeabur.com/pricing,2026-09-23T06:31:50Z,$ 5 /mo,configured field pattern: price,82f03e28b9652c669e068a1424361119c29b6a5cd6d79afd9d5f889d77eef34d
zeabur-pro,zeabur,Pro,Application hosting,regular_price,19.0,USD,month,,,,,,https://zeabur.com/pricing,2026-09-23T06:31:50Z,$ 19 /mo,configured field pattern: price,82f03e28b9652c669e068a1424361119c29b6a5cd6d79afd9d5f889d77eef34d
replit-core,replit,Core,Application hosting,regular_price,20.0,USD,month,,,,,,https://replit.com/pricing,2026-09-23T06:31:51Z,"20 $18 / month, billed annually",configured field pattern: price,20b6d9ecb38d8304584a556122f5fed8759cc039dacdcd5d48cc6af0d5683cff
replit-pro,replit,Pro,Application hosting,regular_price,100.0,USD,month,,,,,,https://replit.com/pricing,2026-09-23T06:31:51Z,"100 $90 / month, billed annually",configured field pattern: price,20b6d9ecb38d8304584a556122f5fed8759cc039dacdcd5d48cc6af0d5683cff
durable-launch,durable,Launch,Web hosting,regular_price,25.0,USD,month,,,,,,https://durable.co/,2026-09-23T06:31:52Z,$25/mo,configured field pattern: price,4c502ff541d47dca8a4d858346b914c9e3801724aed5c9998d567cc06bce4e01
b12-website,b12,Website,Web hosting,regular_price,24.0,USD,month,,,,,,https://www.b12.io/pricing,2026-09-23T06:31:53Z,$ 24 / month,configured field pattern: price,993f051ded04f01cc1413033c61e752bb6b080028c9dd75877c26fcd76725179
b12-website-client-engagement,b12,Website + Client Engagement,Web hosting,regular_price,78.0,USD,month,,,,,,https://www.b12.io/pricing,2026-09-23T06:31:53Z,$ 78 / month,configured field pattern: price,993f051ded04f01cc1413033c61e752bb6b080028c9dd75877c26fcd76725179
softr-basic,softr,Basic,Application hosting,regular_price,19.0,USD,month,,,,,,https://www.softr.io/pricing,2026-09-23T06:31:55Z,19 /month,configured field pattern: price,b9077a9427b28f416956702b22b7e9288821bdd07cfd3f0eacacccaff348a434
softr-pro,softr,Pro,Application hosting,regular_price,99.0,USD,month,,,,,,https://www.softr.io/pricing,2026-09-23T06:31:55Z,99 /month,configured field pattern: price,b9077a9427b28f416956702b22b7e9288821bdd07cfd3f0eacacccaff348a434
softr-business,softr,Business,Application hosting,regular_price,329.0,USD,month,,,,,,https://www.softr.io/pricing,2026-09-23T06:31:55Z,329 /month,configured field pattern: price,b9077a9427b28f416956702b22b7e9288821bdd07cfd3f0eacacccaff348a434
bandzoogle-lite-website-plan,bandzoogle,Lite Website plan,Web hosting,regular_price,9.16,USD,month,,,,,,https://bandzoogle.com/pricing,2026-09-23T06:31:56Z,$9.16 /mo billed annually,configured field pattern: price,eeef09578f0f8001e3a0d9133a8922937ec9d8dbc23c2a1305135513da74e838
bandzoogle-standard-website-plan,bandzoogle,Standard Website plan,Web hosting,regular_price,14.16,USD,month,,,,,,https://bandzoogle.com/pricing,2026-09-23T06:31:56Z,$14.16 /mo billed annually,configured field pattern: price,eeef09578f0f8001e3a0d9133a8922937ec9d8dbc23c2a1305135513da74e838
bandzoogle-pro-website-plan,bandzoogle,Pro Website plan,Web hosting,regular_price,18.33,USD,month,,,,,,https://bandzoogle.com/pricing,2026-09-23T06:31:56Z,$18.33 /mo billed annually,configured field pattern: price,eeef09578f0f8001e3a0d9133a8922937ec9d8dbc23c2a1305135513da74e838
deno-deploy-pro,deno-deploy,Pro,Application hosting,regular_price,20.0,USD,month,,,,,,https://deno.com/deploy/pricing,2026-09-23T06:31:59Z,20 /month,configured field pattern: price,d68f73bb4185a08b1727123b6c8a9ef8ba45979a71ef2d2a645e72d69e1cc942
deno-deploy-builder,deno-deploy,Builder,Application hosting,regular_price,200.0,USD,month,,,,,,https://deno.com/deploy/pricing,2026-09-23T06:31:59Z,200 /month,configured field pattern: price,d68f73bb4185a08b1727123b6c8a9ef8ba45979a71ef2d2a645e72d69e1cc942
lightningbase-personal,lightningbase,Personal,Web hosting,regular_price,9.95,USD,month,,,,,,https://lightningbase.com/pricing,2026-09-23T06:32:00Z,9.95/mo,configured field pattern: price,200d197b6468c0461643bbbcdb0cc6ef4aefd96f5d7867c41f11882eeedbc779
lightningbase-small,lightningbase,Small,Web hosting,regular_price,19.95,USD,month,,,,,,https://lightningbase.com/pricing,2026-09-23T06:32:00Z,19.95/mo,configured field pattern: price,200d197b6468c0461643bbbcdb0cc6ef4aefd96f5d7867c41f11882eeedbc779
lightningbase-medium,lightningbase,Medium,Web hosting,regular_price,49.95,USD,month,,,,,,https://lightningbase.com/pricing,2026-09-23T06:32:00Z,49.95/mo,configured field pattern: price,200d197b6468c0461643bbbcdb0cc6ef4aefd96f5d7867c41f11882eeedbc779
lightningbase-large,lightningbase,Large,Web hosting,regular_price,99.95,USD,month,,,,,,https://lightningbase.com/pricing,2026-09-23T06:32:00Z,99.95/mo,configured field pattern: price,200d197b6468c0461643bbbcdb0cc6ef4aefd96f5d7867c41f11882eeedbc779
tmdhosting-linux-shared-hosting,tmdhosting,Linux Shared Hosting,Web hosting,promotion,9.52,USD,month,,,,,,https://www.tmdhosting.com/,2026-09-23T06:32:00Z,from $11.90/mo $9.52/mo,configured field pattern: price,0b6ddeb2afb93f1fae0475a892a24a012006c6282efd05f8adc72e7df8a51572
tmdhosting-managed-wordpress-hosting,tmdhosting,Managed WordPress Hosting,Web hosting,promotion,9.99,USD,month,,,,,,https://www.tmdhosting.com/,2026-09-23T06:32:00Z,from $12.49/mo $9.99/mo,configured field pattern: price,0b6ddeb2afb93f1fae0475a892a24a012006c6282efd05f8adc72e7df8a51572
tmdhosting-managed-linux-vps-hosting,tmdhosting,Managed Linux VPS Hosting,VPS hosting,promotion,49.99,USD,month,,,,,,https://www.tmdhosting.com/,2026-09-23T06:32:00Z,from $62.49/mo $49.99/mo,configured field pattern: price,0b6ddeb2afb93f1fae0475a892a24a012006c6282efd05f8adc72e7df8a51572
tmdhosting-managed-dedicated-servers,tmdhosting,Managed Dedicated Servers,Dedicated hosting,promotion,159.99,USD,month,,,,,,https://www.tmdhosting.com/,2026-09-23T06:32:00Z,from $199.99/mo $159.99/mo,configured field pattern: price,0b6ddeb2afb93f1fae0475a892a24a012006c6282efd05f8adc72e7df8a51572
hawkhost-shared-hosting,hawkhost,Shared Hosting,Web hosting,promotion,1.99,USD,month,,,,,,https://www.hawkhost.com/,2026-09-23T06:32:01Z,Starting from $ 1.99 /mo,configured field pattern: price,52d43a65b7424108aab4333c93859f57a7cf3f23b18534d8618f980f4cacaebd
hawkhost-reseller-hosting,hawkhost,Reseller Hosting,Reseller hosting,promotion,16.05,USD,month,,,,,,https://www.hawkhost.com/,2026-09-23T06:32:01Z,Starting from $ 16.05 /mo,configured field pattern: price,52d43a65b7424108aab4333c93859f57a7cf3f23b18534d8618f980f4cacaebd
hawkhost-cloud-compute,hawkhost,Cloud Compute,VPS hosting,regular_price,5.0,USD,month,,,,,,https://www.hawkhost.com/,2026-09-23T06:32:01Z,Starting from $ 5.00 /mo,configured field pattern: price,52d43a65b7424108aab4333c93859f57a7cf3f23b18534d8618f980f4cacaebd
crocweb-cloud-web-hosting,crocweb,Cloud Web Hosting,Web hosting,promotion,1.02,USD,month,,,,,,https://www.crocweb.com/,2026-09-23T06:32:01Z,starting at $1.02/mo,configured field pattern: price,59c202165baf6adefaeadb96542f2ed4c894150400a89632e2919b0497126b28
crocweb-cloud-wordpress-hosting,crocweb,Cloud WordPress Hosting,Web hosting,promotion,1.02,USD,month,,,,,,https://www.crocweb.com/,2026-09-23T06:32:01Z,starting at $1.02/mo,configured field pattern: price,59c202165baf6adefaeadb96542f2ed4c894150400a89632e2919b0497126b28
crocweb-cloud-reseller-hosting,crocweb,Cloud Reseller Hosting,Reseller hosting,promotion,2.04,USD,month,,,,,,https://www.crocweb.com/,2026-09-23T06:32:01Z,starting at $2.04/mo,configured field pattern: price,59c202165baf6adefaeadb96542f2ed4c894150400a89632e2919b0497126b28
crocweb-cloud-virtual-servers,crocweb,Cloud Virtual Servers,VPS hosting,promotion,19.95,USD,month,,,,,,https://www.crocweb.com/,2026-09-23T06:32:01Z,starting at $19.95/mo,configured field pattern: price,59c202165baf6adefaeadb96542f2ed4c894150400a89632e2919b0497126b28
eukhost-premium-web-hosting,eukhost,Premium Web Hosting,Web hosting,regular_price,4.07,GBP,month,,,,,,https://www.eukhost.com/,2026-09-23T06:32:01Z,£ 4.07 /mo,configured field pattern: price,9b33d30ada45491d5673b414d7c25983e651d11e9379c0932cd98c99600d7a34
eukhost-hyperwp-wordpress-hosting,eukhost,HyperWP WordPress Hosting,Web hosting,regular_price,4.79,GBP,month,,,,,,https://www.eukhost.com/,2026-09-23T06:32:01Z,£ 4.79 /mo,configured field pattern: price,9b33d30ada45491d5673b414d7c25983e651d11e9379c0932cd98c99600d7a34
eukhost-vps-servers,eukhost,VPS Servers,VPS hosting,regular_price,19.14,GBP,month,,,,,,https://www.eukhost.com/,2026-09-23T06:32:01Z,£ 19.14 /mo,configured field pattern: price,9b33d30ada45491d5673b414d7c25983e651d11e9379c0932cd98c99600d7a34
eukhost-com-registration,eukhost,.com registration,Domains,regular_price,12.99,GBP,year,,,,,,https://www.eukhost.com/,2026-09-23T06:32:01Z,com £ 12.99 /yr,configured field pattern: price,9b33d30ada45491d5673b414d7c25983e651d11e9379c0932cd98c99600d7a34
supabase-pro,supabase,Pro,Application hosting,regular_price,25.0,USD,month,,,,,,https://supabase.com/pricing,2026-09-23T06:32:05Z,$ 25 / month,configured field pattern: price,eeec2fe682dfc2d4e7d2ec33d70fac9f433cd8a18a46b8eb8d46cd42c85ac502
supabase-team,supabase,Team,Application hosting,regular_price,599.0,USD,month,,,,,,https://supabase.com/pricing,2026-09-23T06:32:05Z,$ 599 / month,configured field pattern: price,eeec2fe682dfc2d4e7d2ec33d70fac9f433cd8a18a46b8eb8d46cd42c85ac502
platform-sh-project-fee,platform-sh,Project fee,Application hosting,regular_price,9.0,EUR,month,,,,,,https://platform.sh/pricing,2026-09-23T06:32:07Z,€9.00 /project/month,configured field pattern: price,50d071dad241f8c1a755f9cb39025a1e488f86c5d2484d36f7d3d2e39c8877ba
platform-sh-user-license,platform-sh,User license,Application hosting,regular_price,10.0,EUR,month,,,,,,https://platform.sh/pricing,2026-09-23T06:32:07Z,€10.00 /user/month,configured field pattern: price,50d071dad241f8c1a755f9cb39025a1e488f86c5d2484d36f7d3d2e39c8877ba
pantheon-gold,pantheon,Gold,Web hosting,regular_price,500.0,USD,month,,,,,,https://pantheon.io/plans/pricing,2026-09-23T06:32:07Z,$ 500 per month,configured field pattern: price,4b931e158109fd026b91bd638fd1845417b7d1210ed6fe982e3699d9a4092607
northflank-nf-compute-10,northflank,nf-compute-10,Application hosting,regular_price,2.7,USD,month,,,,,,https://northflank.com/pricing,2026-09-23T06:32:08Z,Price $ 2.70 /month,configured field pattern: price,42097dcb41edd97b960f6a6e3321ce1f598f007bc9ac3764659e78e89d92cc16
northflank-nf-compute-50,northflank,nf-compute-50,Application hosting,regular_price,12.0,USD,month,,,,,,https://northflank.com/pricing,2026-09-23T06:32:08Z,Price $ 12.00 /month,configured field pattern: price,42097dcb41edd97b960f6a6e3321ce1f598f007bc9ac3764659e78e89d92cc16
northflank-nf-compute-100-2,northflank,nf-compute-100-2,Application hosting,regular_price,24.0,USD,month,,,,,,https://northflank.com/pricing,2026-09-23T06:32:08Z,Price $ 24.00 /month,configured field pattern: price,42097dcb41edd97b960f6a6e3321ce1f598f007bc9ac3764659e78e89d92cc16
northflank-nf-compute-400,northflank,nf-compute-400,Application hosting,regular_price,96.0,USD,month,,,,,,https://northflank.com/pricing,2026-09-23T06:32:08Z,Price $ 96.00 /month,configured field pattern: price,42097dcb41edd97b960f6a6e3321ce1f598f007bc9ac3764659e78e89d92cc16
shopify-basic,shopify,Basic,Hosting,regular_price,29.0,USD,month,,,,,,https://www.shopify.com/pricing,2026-09-23T06:32:17Z,$29 /mo,configured field pattern: price,33306674797f9578f6fea30912e242c31a32a51c845067c165405e2b595b453d
shopify-grow,shopify,Grow,Hosting,regular_price,79.0,USD,month,,,,,,https://www.shopify.com/pricing,2026-09-23T06:32:17Z,Grow $79 /mo,configured field pattern: price,33306674797f9578f6fea30912e242c31a32a51c845067c165405e2b595b453d
shopify-advanced,shopify,Advanced,Hosting,regular_price,299.0,USD,month,,,,,,https://www.shopify.com/pricing,2026-09-23T06:32:17Z,Advanced $299 /mo,configured field pattern: price,33306674797f9578f6fea30912e242c31a32a51c845067c165405e2b595b453d
bigcommerce-core,bigcommerce,Core,Hosting,regular_price,39.0,USD,month,,,,,,https://www.bigcommerce.com/pricing/,2026-09-23T06:32:18Z,Core $39/mo,configured field pattern: price,e60b5f8a9faea20119fc4683a8e001208ae665abb23706784359a8cef8aab090
bigcommerce-growth,bigcommerce,Growth,Hosting,regular_price,105.0,USD,month,,,,,,https://www.bigcommerce.com/pricing/,2026-09-23T06:32:18Z,Growth $105/mo,configured field pattern: price,e60b5f8a9faea20119fc4683a8e001208ae665abb23706784359a8cef8aab090
bigcommerce-scale,bigcommerce,Scale,Hosting,regular_price,399.0,USD,month,,,,,,https://www.bigcommerce.com/pricing/,2026-09-23T06:32:18Z,Scale $399/mo,configured field pattern: price,e60b5f8a9faea20119fc4683a8e001208ae665abb23706784359a8cef8aab090
duda-basic,duda,Basic,Hosting,regular_price,25.0,USD,month,,,,,,https://www.duda.co/pricing,2026-09-23T06:32:19Z,Basic $25 /mo,configured field pattern: price,063e0fbb183a494002b8b0e31595c2c9722a4691393ffe0011772d4a04d494d2
duda-team,duda,Team,Hosting,regular_price,39.0,USD,month,,,,,,https://www.duda.co/pricing,2026-09-23T06:32:19Z,Team $39 /mo,configured field pattern: price,063e0fbb183a494002b8b0e31595c2c9722a4691393ffe0011772d4a04d494d2
duda-agency,duda,Agency,Hosting,regular_price,69.0,USD,month,,,,,,https://www.duda.co/pricing,2026-09-23T06:32:19Z,Agency $69 /mo,configured field pattern: price,063e0fbb183a494002b8b0e31595c2c9722a4691393ffe0011772d4a04d494d2
duda-white-label,duda,White Label,Hosting,regular_price,199.0,USD,month,,,,,,https://www.duda.co/pricing,2026-09-23T06:32:19Z,White Label $199 /mo,configured field pattern: price,063e0fbb183a494002b8b0e31595c2c9722a4691393ffe0011772d4a04d494d2
framer-basic,framer,Basic,Hosting,regular_price,10.0,USD,month,,,,,,https://www.framer.com/pricing/,2026-09-23T06:32:20Z,$10 per month,configured field pattern: price,db6fbfca7523f13285dfc8516bda62dcaffb25650e212a18b1873fd49e13bf6b
framer-pro,framer,Pro,Hosting,regular_price,30.0,USD,month,,,,,,https://www.framer.com/pricing/,2026-09-23T06:32:20Z,$30 per month,configured field pattern: price,db6fbfca7523f13285dfc8516bda62dcaffb25650e212a18b1873fd49e13bf6b
ghost-starter,ghost,Starter,Hosting,regular_price,18.0,USD,month,,,,,,https://ghost.org/pricing/,2026-09-23T06:32:20Z,$ 18 USD / mo,configured field pattern: price,9a512372a223d46ce8a1f4d647cdf1026152ca6d93f897c2db82fba83e9914de
ghost-publisher,ghost,Publisher,Hosting,regular_price,29.0,USD,month,,,,,,https://ghost.org/pricing/,2026-09-23T06:32:20Z,$ 29 USD / mo,configured field pattern: price,9a512372a223d46ce8a1f4d647cdf1026152ca6d93f897c2db82fba83e9914de
ghost-business,ghost,Business,Hosting,regular_price,199.0,USD,month,,,,,,https://ghost.org/pricing/,2026-09-23T06:32:20Z,$ 199 USD / mo,configured field pattern: price,9a512372a223d46ce8a1f4d647cdf1026152ca6d93f897c2db82fba83e9914de
tilda-personal,tilda,Personal,Hosting,regular_price,10.0,USD,month,,,,,,https://tilda.cc/pricing/,2026-09-23T06:32:22Z,$10 /month with annual payment,configured field pattern: price,ca345544435de786a80d47cf1ab2d34c5b84ed05173c73abab41610b659fbe3e
tilda-business,tilda,Business,Hosting,regular_price,20.0,USD,month,,,,,,https://tilda.cc/pricing/,2026-09-23T06:32:22Z,$20 /month with annual payment,configured field pattern: price,ca345544435de786a80d47cf1ab2d34c5b84ed05173c73abab41610b659fbe3e
accuweb-hosting-budget,accuweb-hosting,Budget,Hosting,regular_price,1.99,USD,month,,,,,,https://www.accuwebhosting.com/pricing,2026-09-23T06:32:22Z,Budget $ 1.99 /mo,configured field pattern: price,f86a169b5ea69050cb901f53f82e677605eed559c462f5844c835a2fc289676b
kamatera-basic,kamatera,Basic,Hosting,regular_price,4.0,USD,month,,,,,,https://www.kamatera.com/pricing/,2026-09-23T06:32:23Z,Basic $4 /mo,configured field pattern: price,a774d20ba9f6e42fa2354947ee855b2be858134a9542857f20fc50a7b2482b15
kamatera-standard,kamatera,Standard,Hosting,regular_price,25.0,USD,month,,,,,,https://www.kamatera.com/pricing/,2026-09-23T06:32:23Z,Standard $25 /mo,configured field pattern: price,a774d20ba9f6e42fa2354947ee855b2be858134a9542857f20fc50a7b2482b15
kamatera-pro,kamatera,Pro,Hosting,regular_price,39.0,USD,month,,,,,,https://www.kamatera.com/pricing/,2026-09-23T06:32:23Z,Pro $39 /mo,configured field pattern: price,a774d20ba9f6e42fa2354947ee855b2be858134a9542857f20fc50a7b2482b15
gridpane-peakfreq,gridpane,PeakFreq,Hosting,regular_price,19.0,USD,month,,,,,,https://gridpane.com/pricing/,2026-09-23T06:32:24Z,$ 19 /month,configured field pattern: price,32fec208ce98f297ed6a32f0b2acb9099e208114c25cf9ca69843f51561ce1f1
gridpane-bespoke-hosting,gridpane,Bespoke Hosting,Hosting,regular_price,2000.0,USD,year,,,,,,https://gridpane.com/pricing/,2026-09-23T06:32:24Z,$ 2000 /year,configured field pattern: price,32fec208ce98f297ed6a32f0b2acb9099e208114c25cf9ca69843f51561ce1f1
koyeb-pro,koyeb,Pro,Hosting,regular_price,29.0,USD,month,,,,,,https://www.koyeb.com/pricing,2026-09-23T06:32:25Z,$ 29 /mo,configured field pattern: price,721d7577c779d7e58b609801a0f1bf6ccab6020d09518d791b1efc12dd379ec2
koyeb-scale,koyeb,Scale,Hosting,regular_price,299.0,USD,month,,,,,,https://www.koyeb.com/pricing,2026-09-23T06:32:25Z,$ 299 /mo,configured field pattern: price,721d7577c779d7e58b609801a0f1bf6ccab6020d09518d791b1efc12dd379ec2
flywheel-starter,flywheel,Starter,Hosting,regular_price,25.0,USD,month,,,,,,https://getflywheel.com/pricing/,2026-09-23T06:32:26Z,Starter $ 25 /mo,configured field pattern: price,f8d407ab70fbc486dd562227742c9a8ee32ae5d7e29791c52ad49c52df6921e6
flywheel-freelance,flywheel,Freelance,Hosting,regular_price,96.0,USD,month,,,,,,https://getflywheel.com/pricing/,2026-09-23T06:32:26Z,Freelance $ 96 /mo,configured field pattern: price,f8d407ab70fbc486dd562227742c9a8ee32ae5d7e29791c52ad49c52df6921e6
flywheel-agency,flywheel,Agency,Hosting,regular_price,242.0,USD,month,,,,,,https://getflywheel.com/pricing/,2026-09-23T06:32:26Z,Agency $ 242 /mo,configured field pattern: price,f8d407ab70fbc486dd562227742c9a8ee32ae5d7e29791c52ad49c52df6921e6
10web-ai-starter,10web,AI Starter,Hosting,regular_price,10.0,USD,month,,,,,,https://10web.io/pricing/,2026-09-23T06:32:26Z,AI Starter $10 /mo,configured field pattern: price,a4369a73a38f7b2fb2e8b1455c625300bf6157d96225bd7b5c4850503eec1e6e
10web-ai-premium,10web,AI Premium,Hosting,regular_price,15.0,USD,month,,,,,,https://10web.io/pricing/,2026-09-23T06:32:26Z,AI Premium $15 /mo,configured field pattern: price,a4369a73a38f7b2fb2e8b1455c625300bf6157d96225bd7b5c4850503eec1e6e
10web-ai-ultimate,10web,AI Ultimate,Hosting,regular_price,22.5,USD,month,,,,,,https://10web.io/pricing/,2026-09-23T06:32:26Z,AI Ultimate $22.5 /mo,configured field pattern: price,a4369a73a38f7b2fb2e8b1455c625300bf6157d96225bd7b5c4850503eec1e6e
10web-agency-starter,10web,Agency starter,Hosting,regular_price,42.5,USD,month,,,,,,https://10web.io/pricing/,2026-09-23T06:32:27Z,Agency starter $42.5 /mo,configured field pattern: price,a4369a73a38f7b2fb2e8b1455c625300bf6157d96225bd7b5c4850503eec1e6e
