slug,provider,title,category,kind,price,currency,billing_period,commitment_months,renewal_price,discount_percent,coupon_code,valid_until,source_url,captured_at,evidence_quote,evidence_location,source_sha256
namehero-starter-cloud,namehero,Starter Cloud,Web hosting,promotion,2.91,USD,month,,11.64,75,,,https://www.namehero.com/,2026-09-23T06:32:50Z,$2.91 /mo,configured field pattern: price,b1dfd2074a8980650659de3386704abef81cd2bc48ad1397b0f2f0049eb95ff7
namehero-plus-cloud,namehero,Plus Cloud,Web hosting,promotion,5.05,USD,month,,16.84,70,,,https://www.namehero.com/,2026-09-23T06:32:50Z,$5.05 /mo,configured field pattern: price,b1dfd2074a8980650659de3386704abef81cd2bc48ad1397b0f2f0049eb95ff7
namehero-turbo-cloud,namehero,Turbo Cloud,Web hosting,promotion,7.78,USD,month,,25.94,70,,,https://www.namehero.com/,2026-09-23T06:32:50Z,$7.78 /mo,configured field pattern: price,b1dfd2074a8980650659de3386704abef81cd2bc48ad1397b0f2f0049eb95ff7
namehero-business-cloud,namehero,Business Cloud,Web hosting,promotion,11.68,USD,month,,38.94,70,,,https://www.namehero.com/,2026-09-23T06:32:51Z,$11.68 /mo,configured field pattern: price,b1dfd2074a8980650659de3386704abef81cd2bc48ad1397b0f2f0049eb95ff7
stablehost-web-hosting-starter,stablehost,Web Hosting Starter,Web hosting,promotion,6.36,USD,month,,12.71,,,,https://www.stablehost.com/shared-hosting.php,2026-09-23T06:32:51Z,$6.36 /month,configured field pattern: price,e4137d91bb345de66cd6d408515e92a147fe36b058f2e024fa71bac2bd2ddfba
stablehost-web-hosting-pro,stablehost,Web Hosting Pro,Web hosting,promotion,10.07,USD,month,,20.13,,,,https://www.stablehost.com/shared-hosting.php,2026-09-23T06:32:51Z,$10.07 /month,configured field pattern: price,e4137d91bb345de66cd6d408515e92a147fe36b058f2e024fa71bac2bd2ddfba
mddhosting-basic,mddhosting,Basic,Web hosting,promotion,1.99,USD,month,,3.32,60,,,https://mddhosting.com/,2026-09-23T06:32:52Z,$1.99 /mo,configured field pattern: price,78bcc7820170f0ddb2905b38a5fbe7f1afc51b969749ca293378a9aacc27d32f
mddhosting-turbo,mddhosting,Turbo,Web hosting,promotion,8.99,USD,month,,14.99,40,,,https://mddhosting.com/,2026-09-23T06:32:52Z,$8.99 /mo,configured field pattern: price,78bcc7820170f0ddb2905b38a5fbe7f1afc51b969749ca293378a9aacc27d32f
mddhosting-plaid,mddhosting,Plaid,Web hosting,promotion,17.99,USD,month,,29.99,40,,,https://mddhosting.com/,2026-09-23T06:32:52Z,$17.99 /mo,configured field pattern: price,78bcc7820170f0ddb2905b38a5fbe7f1afc51b969749ca293378a9aacc27d32f
ultahost-starter,ultahost,Starter,Web hosting,promotion,3.44,USD,month,,6.89,40,,,https://ultahost.com/web-hosting,2026-09-20T13:31:09Z,$3.44 /mo,configured field pattern: price,6066f5b62d1f807d9f7cbdffa88f2dc95b52c97a2ec6912baeba1a116b3e8629
ultahost-vps-basic,ultahost,VPS Basic,Web hosting,promotion,5.52,USD,month,,9.19,40,,,https://ultahost.com/web-hosting,2026-09-20T13:31:09Z,$5.52 /mo,configured field pattern: price,6066f5b62d1f807d9f7cbdffa88f2dc95b52c97a2ec6912baeba1a116b3e8629
netlify-personal,netlify,Personal,Web hosting and deployment,regular_price,9.0,USD,month,,,,,,https://www.netlify.com/pricing/,2026-09-23T06:32:53Z,$9 /month,configured field pattern: price,511cf5af181ee460bfcfe92c4492dac2077abdd43372f1ecab7a2dc09e9d08ea
netlify-pro,netlify,Pro,Web hosting and deployment,regular_price,20.0,USD,month,,,,,,https://www.netlify.com/pricing/,2026-09-23T06:32:53Z,$20 /month,configured field pattern: price,511cf5af181ee460bfcfe92c4492dac2077abdd43372f1ecab7a2dc09e9d08ea
vercel-pro,vercel,Pro,Frontend cloud platform,regular_price,20.0,USD,month,,,,,,https://vercel.com/pricing,2026-09-23T06:32:54Z,$20 /mo,configured field pattern: price,4c871343de3acebe5a30797095903ea9a9ce9be1ec987de821dd34e8dfac9145
ovhcloud-vps-1,ovhcloud,VPS-1,VPS hosting,regular_price,4.54,USD,month,,,,,,https://www.ovhcloud.com/en/vps/,2026-09-23T06:32:54Z,From $4.54 /month,configured field pattern: price,4378236da7ca2d3c2edaa1d822bc5502f40a527b09cfdff82e9fed0b9fe8a6cb
ovhcloud-vps-2,ovhcloud,VPS-2,VPS hosting,regular_price,8.5,USD,month,,,,,,https://www.ovhcloud.com/en/vps/,2026-09-23T06:32:54Z,From $8.50 /month,configured field pattern: price,4378236da7ca2d3c2edaa1d822bc5502f40a527b09cfdff82e9fed0b9fe8a6cb
ovhcloud-vps-3,ovhcloud,VPS-3,VPS hosting,regular_price,12.32,USD,month,,,,,,https://www.ovhcloud.com/en/vps/,2026-09-23T06:32:54Z,From $12.32 /month,configured field pattern: price,4378236da7ca2d3c2edaa1d822bc5502f40a527b09cfdff82e9fed0b9fe8a6cb
ovhcloud-vps-4,ovhcloud,VPS-4,VPS hosting,regular_price,23.37,USD,month,,,,,,https://www.ovhcloud.com/en/vps/,2026-09-23T06:32:55Z,From $23.37 /month,configured field pattern: price,4378236da7ca2d3c2edaa1d822bc5502f40a527b09cfdff82e9fed0b9fe8a6cb
weebly-personal,weebly,Personal,Website builder,regular_price,13.0,USD,month,,16.0,,,,https://www.weebly.com/pricing,2026-09-23T06:33:07Z,$13 /mo billed annually,configured field pattern: price,9294f973b08a493bc567185498b66915ec46f6e5bb39e91ddb29335cdf3ed331
weebly-professional,weebly,Professional,Website builder,regular_price,15.0,USD,month,,20.0,,,,https://www.weebly.com/pricing,2026-09-23T06:33:07Z,$15 /mo billed annually,configured field pattern: price,9294f973b08a493bc567185498b66915ec46f6e5bb39e91ddb29335cdf3ed331
weebly-performance,weebly,Performance,Website builder,regular_price,32.0,USD,month,,36.0,,,,https://www.weebly.com/pricing,2026-09-23T06:33:07Z,$32 /mo billed annually,configured field pattern: price,9294f973b08a493bc567185498b66915ec46f6e5bb39e91ddb29335cdf3ed331
render-pro,render,Pro,Application hosting,regular_price,25.0,USD,month,,,,,,https://render.com/pricing,2026-09-23T06:33:07Z,$ 25 /mo + compute,configured field pattern: price,e5d4f8c1fe4a2628458881f063bc844d91f8b9e2137493c7e49e27d55007e398
render-scale,render,Scale,Application hosting,regular_price,499.0,USD,month,,,,,,https://render.com/pricing,2026-09-23T06:33:07Z,$ 499 /mo + compute,configured field pattern: price,e5d4f8c1fe4a2628458881f063bc844d91f8b9e2137493c7e49e27d55007e398
amazon-lightsail-lightsail-512-mb-2-vcpu-20-gb-ssd,amazon-lightsail,"Lightsail 512 MB (2 vCPU, 20 GB SSD)",VPS hosting,regular_price,5.0,USD,month,,,,,,https://aws.amazon.com/lightsail/pricing/,2026-09-23T06:33:08Z,$5 USD/mo,configured field pattern: price,f09879fbba927a56ab6b734fe25868859002e7c4dfdd901c7cd4bab26e2993b9
amazon-lightsail-lightsail-1-gb-2-vcpu-40-gb-ssd,amazon-lightsail,"Lightsail 1 GB (2 vCPU, 40 GB SSD)",VPS hosting,regular_price,7.0,USD,month,,,,,,https://aws.amazon.com/lightsail/pricing/,2026-09-23T06:33:08Z,$7 USD/mo,configured field pattern: price,f09879fbba927a56ab6b734fe25868859002e7c4dfdd901c7cd4bab26e2993b9
amazon-lightsail-lightsail-2-gb-2-vcpu-60-gb-ssd,amazon-lightsail,"Lightsail 2 GB (2 vCPU, 60 GB SSD)",VPS hosting,regular_price,12.0,USD,month,,,,,,https://aws.amazon.com/lightsail/pricing/,2026-09-23T06:33:08Z,$12 USD/mo,configured field pattern: price,f09879fbba927a56ab6b734fe25868859002e7c4dfdd901c7cd4bab26e2993b9
